"","datetime","city","country","shape"
"61631",2000-07-01,"salinas","us","fireball"
"70840",2012-07-08,"auckland (new zealand)","","fireball"
"76587",2012-08-23,"new hyde park","us","fireball"
"85702",2010-09-24,"henderson","us","fireball"
"87196",2011-09-30,"vancouver","us","fireball"
"19215",2001-12-01,"sand springs","us","formation"
"36018",2014-03-19,"lewisville","us","formation"
"87139",2007-09-30,"loveland","us","formation"
"5",1960-10-10,"kaneohe","us","light"
"7300",2013-10-05,"colchester","us","light"
"12500",2012-01-01,"loveland","us","light"
"13562",2014-01-12,"easton","us","light"
"16673",2010-11-05,"leavenworth","us","light"
"31743",2012-02-25,"zeeland","us","light"
"34239",1999-03-12,"bellevue (east of)","us","light"
"35570",2005-03-17,"chillicothe","us","light"
"37496",2008-03-27,"huron county","us","light"
"44263",2008-04-30,"el paso","us","light"
"47449",2008-05-16,"bellingham","us","light"
"51805",1972-06-11,"broadelbin","","light"
"59733",2010-06-05,"wilmore","us","light"
"65339",2003-07-02,"lakeville","us","light"
"75778",2006-08-21,"charlotte","us","light"
"79573",2006-08-06,"chesterfeild","","light"
"80474",2009-08-09,"san jose","us","light"
"80813",2012-09-10,"tolland","us","light"
"87303",2004-09-03,"weehawken","us","light"
"13067",2008-11-21,"palos verdes","","other"
"32613",2012-02-04,"greenwich","us","other"
"38801",2001-03-06,"forestville","us","other"
"38830",2005-03-06,"follansbee","us","other"
"66701",2013-07-26,"auburn","us","other"
"68746",2007-07-04,"loveland","us","other"
"70527",2009-07-07,"mooresville","us","other"
"74732",2002-08-18,"milledgeville","us","other"
"75974",2002-08-02,"henderson","us","other"
"142",2004-10-10,"terre haute","us","sphere"
"2421",2010-10-15,"overland park","us","sphere"
"11325",2009-11-17,"caledonia county","","sphere"
"24144",2013-12-31,"boynton beach","us","sphere"
"9429",2011-01-11,"springfield","us","triangle"
"14104",2005-11-24,"palm desert","us","triangle"
"15234",2013-11-29,"verona","us","triangle"
"39644",2008-04-10,"urb la marina (spain)","","triangle"
"39889",2013-04-11,"highlands ranch","us","triangle"
"47184",2004-05-15,"valley center","us","triangle"
"47187",2004-05-15,"summerland (canada)","ca","triangle"
"47203",2005-05-15,"earp","us","triangle"
"47296",2009-05-15,"orangeburg","us","triangle"
"54641",2000-06-15,"caarthage","","triangle"
"75014",2003-08-19,"griffith","us","triangle"
"82754",1999-09-15,"nampa","us","triangle"
"16993",2006-11-06,"wheeling","us","unknown"
"17166",2012-11-06,"lebanon","us","unknown"
"25360",NA,"s&atilde;o paulo (brazil)","","unknown"
"31071",1984-02-22,"ein geidi beach (israel)","","unknown"
"46087",1987-05-01,"winslow","us","unknown"
"58286",2005-06-29,"lantana","us","unknown"
"61183",2010-07-11,"bloomsburg","us","unknown"
"78453",2003-08-31,"salem","us","unknown"
"87798",2004-09-05,"lewisville","us","unknown"
"27146",2014-01-03,"morgan hill","us","cigar"
"65682",2011-07-22,"appling","us","fireball"
"62084",2010-07-12,"san angelo","us","light"
"87335",2006-09-03,"north hollywood/burbank","","fireball"
"36068",2001-03-20,"austin","us","cigar"
"9461",2012-01-11,"saranac lake","us","formation"
"24198",2013-12-31,"fairbanks","us","light"
"7574",2000-10-07,"london (canada)","ca","sphere"
"24084",2012-12-31,"bullhead city","us","fireball"
"70915",2002-07-09,"abbeville","us","triangle"
"62175",1999-07-13,"morton grove","us","fireball"
"52959",1998-06-01,"west plains","","triangle"
"66620",2006-07-26,"quincy","us","oval"
"12602",2013-01-01,"westminster","us","oval"
"54975",2013-06-15,"goshen","us","unknown"
"67047",2001-07-28,"sandy","","oval"
"49175",2009-05-25,"rapid city","us","triangle"
"84282",2005-09-20,"burke (north of)","us","other"
"15277",2001-11-30,"indian creek","us","light"
"17324",2003-01-17,"accrington (uk/england)","gb","fireball"
"18841",2008-12-10,"athens (greece)","","unknown"
"50008",2008-05-30,"cambodia","",""
"41153",2011-04-15,"new york city","us","circle"
"37738",2000-03-29,"treasure island (south of)","us","circle"
"86883",2012-09-29,"athens","us","fireball"
"79999",2013-08-07,"dania beach","us","formation"
"32371",2005-02-03,"phoenix","us","fireball"
"22441",2007-12-24,"van nuys","us","formation"
"29500",1977-02-15,"ft. knox","","light"
"12591",2013-01-01,"wailuku","us","sphere"
"66510",1989-07-26,"beaverton","us","cylinder"
"40967",1998-04-15,"magna","us","light"
"40980",1999-04-15,"stone mountain","us","light"
"73980",2008-08-15,"hillsboro","us","light"
"74465",2002-08-17,"pharisburg","us","sphere"
"84881",2008-09-02,"north myrtle beach","us","sphere"
"61486",1990-07-01,"shaver lake","us","light"
"23409",2013-12-28,"studio city","us","circle"
"26672",2003-01-30,"columbus","us","teardrop"
"21109",1978-01-02,"victoria&#44 mahe (seychelles)","","changing"
"54828",2006-06-15,"buhl","us","triangle"
"31874",2011-02-26,"gonzales","us","teardrop"
"20633",2013-12-16,"corner","us","circle"
"26560",2011-01-29,"dayton","","circle"
"36021",2014-03-19,"bogota (colombia)","","circle"
"55549",2010-06-18,"cincinnati","us","circle"
"78422",1999-08-31,"madison","us","circle"
"83688",2009-09-18,"charlevoix","us","circle"
"83702",2010-09-18,"chesapeake beach","us","circle"
"44881",1979-04-06,"santa marta (colombia)","","disk"
"87167",2010-09-30,"league city","","disk"
"87237",1974-09-03,"murfreesboro","us","disk"
"6841",2012-10-03,"petaluma","us","fireball"
"13471",2012-11-02,"hollywest","","fireball"
"36312",2005-03-21,"kokomo (west side of)","us","fireball"
"75193",2012-08-19,"essex","","fireball"
"34345",2009-03-12,"hoffman estates","us","formation"
"11462",1999-11-18,"san diego","us","light"
"43957",1998-04-29,"simpsonville","us","light"
"60117",2000-06-07,"ely (boundary waters ca)","us","light"
"40538",2011-04-13,"flowery branch","us","oval"
"81812",2004-09-12,"andover (uk/england)","gb","triangle"
"87127",2007-09-30,"gadsden","us","changing"
"34266",2001-03-12,"thunder bay (canada)","ca","circle"
"58461",1956-06-30,"cape girardeau","us","diamond"
"67014",1992-07-28,"sioux falls","us","light"
"6922",2002-10-04,"quartzite","","triangle"
"19451",2010-12-01,"melbourne","us","chevron"
"54966",2013-06-15,"mount albert (canada)","","circle"
"59121",2009-06-30,"st. laurent (canada)","","circle"
"41125",2009-04-15,"montpelier","us","cross"
"42095",2003-04-20,"phoenix","us","disk"
"67687",2011-07-30,"painseville","","fireball"
"72989",2012-08-13,"cedar falls","us","formation"
"71785",1954-08-01,"north hollywood","us","light"
"71804",1963-08-01,"compton","us","light"
"86157",2009-09-26,"phoenix","us","light"
"87398",2010-09-03,"joshua tree","us","light"
"58506",1964-06-30,"hoquiam","us","other"
"148",2004-10-10,"kedainiai (lithuania)","","oval"
"56991",2007-06-23,"carol stream","us","sphere"
"84846",2006-09-02,"luling (near)","us","sphere"
"48384",2011-05-21,"halifax (canada)","ca","triangle"
"13553",2014-01-12,"great falls","us","unknown"
"24386",2007-12-03,"albuquerque","us","unknown"
"74267",2006-08-16,"cypress","us","unknown"
"19992",2013-12-13,"springfield","us","light"
"43412",2014-04-25,"rialto","us","light"
"43417",1988-04-26,"dallas","us","light"
"55395",1993-06-18,"block island","","other"
"22941",2003-12-26,"citrus heights","us","unknown"
"9484",2012-01-11,"hogansburg","us","fireball"
"18332",2011-11-09,"kiev (ukraine)","","flash"
"24394",2007-12-03,"beaver dam","","light"
"37154",2005-03-25,"tucson","us","diamond"
"52378",1977-06-01,"shaver lake","us","cigar"
"52393",1977-06-01,"gaithersburg","us","cigar"
"74963",1998-08-19,"reno","us","light"
"5495",2013-10-27,"bagheria (italy)","","changing"
"76454",2003-08-23,"moline","us","light"
"79035",2005-08-04,"flushing","us","light"
"290",2013-10-10,"aurburn","","triangle"
"17756",2003-11-08,"charlottesville","us","unknown"
"62187",2000-07-13,"monterey park","us","cigar"
"51486",2010-05-09,"fairfield","us","triangle"
"68939",2010-07-04,"vancouver","us","sphere"
"49006",2009-05-24,"byron","us","light"
"38988",2000-03-07,"kansas city","us","circle"
"59469",2003-06-04,"huntsville","us","disk"
"14899",2006-11-28,"franklin","us","light"
"15192",2012-11-29,"san mateo","us","light"
"43976",2001-04-29,"memphis","us","other"
"63016",1981-07-15,"fayetteville","us","other"
"66901",2010-07-27,"cranston","us","other"
"77826",2009-08-28,"rolling hills","us","triangle"
"28141",1998-01-09,"cape coral","us","light"
"43574",2014-04-26,"troy","us","circle"
"9341",2008-11-01,"hwy 21 (monroe county)","","light"
"46576",1995-05-13,"scottsdale (north of)","us","other"
"4634",2013-10-23,"cottonwood","us","formation"
"70776",2009-07-08,"berlin","us","other"
"118",2001-10-10,"phoenix","us","triangle"
"22381",2001-12-24,"columbus","us","triangle"
"8057",2008-10-09,"waterford","us","unknown"
"37497",2008-03-27,"sacramento","us","unknown"
"11168",1995-11-17,"orange","us",""
"23600",2013-12-29,"urbana","us","circle"
"9206",2003-01-11,"norman","us","flash"
"1325",2013-10-12,"grand junction (east of; on i-70)","us","light"
"7305",2013-10-05,"salem","us","light"
"15925",2003-11-04,"seattle","us","light"
"34186",2014-03-01,"everett","us","light"
"2371",2007-10-15,"new york city","us","teardrop"
"70540",2010-07-07,"dyer","us","triangle"
"39382",2003-03-09,"fakenham&#44 norfolk  (uk/england)","","changing"
"3333",2011-10-19,"orlando","us","changing"
"50389",2013-05-03,"riverton","us","circle"
"73504",1983-08-15,"plattekill","us","disk"
"46222",2005-05-01,"portland","us","light"
"73646",1996-08-15,"centerport (long island)","us","cross"
"16714",2011-11-05,"flemington","us","formation"
"67312",2004-07-29,"tomah","us","formation"
"10640",2010-11-15,"ocala","us","light"
"70750",2006-07-08,"nj parkway (mm60)","","light"
"72783",2001-08-13,"euclid","us","light"
"82322",2006-09-14,"knoxville","us","other"
"30362",2004-02-19,"freehold","us","sphere"
"72283",2012-08-01,"st. charles","us","triangle"
"40515",2009-04-13,"stoke-on-trent (uk/england)","gb","fireball"
"23414",2013-12-28,"orlando","us","formation"
"23451",2000-12-29,"austin","us","formation"
"88411",2002-09-08,"new york city (staten island)","us","light"
"37636",2006-03-28,"sutton","us","oval"
"44059",2006-04-29,"portland","us","sphere"
"62242",2004-07-13,"naperville","us","triangle"
"45526",2008-04-09,"clifford","us",""
"56779",2012-06-22,"anna maria island","","circle"
"50202",2010-05-31,"tampa","us","cylinder"
"86055",2000-09-26,"kerrywood","","flash"
"72249",2010-08-01,"chicago ridge","us","disk"
"24164",2013-12-31,"portland","us","fireball"
"72935",2010-08-13,"pompey","us","formation"
"2628",2008-10-16,"las piedras (puerto rico)","","light"
"9469",2012-11-01,"waterville","us","light"
"24330",2004-12-03,"shaker","","other"
"41567",2009-04-17,"isla vista","us","triangle"
"83573",2001-09-18,"phoenix","us","circle"
"13631",2003-11-22,"n. ridgeville","","cigar"
"54673",2001-06-15,"phoenix","us","circle"
"64955",2010-07-20,"friendship","us","circle"
"24545",2013-01-23,"bedford","us","light"
"72409",2000-08-12,"gilbert","us","light"
"13039",2006-11-21,"pickerington","us","other"
"86491",2002-09-28,"mesa","us","other"
"80105",2001-08-08,"brant lake","us","sphere"
"48420",2012-05-21,"lynnwood","us","unknown"
"13094",2010-11-21,"colchester","us","unknown"
"39807",2005-04-11,"austin","us","fireball"
"46443",2004-05-12,"boulder","us","formation"
"53787",2005-06-14,"phoenix","us","light"
"15565",2005-11-03,"mountain view","us","other"
"39415",2006-03-09,"china spring (or surrounding communities)","","other"
"65770",2001-07-23,"smyrna","us","egg"
"23353",2010-12-28,"skidmore","us","light"
"77592",2010-08-27,"turlock","us","light"
"38972",1998-03-07,"bonita springs (in the east as seen from)","us","other"
"47973",2012-05-19,"lawrenceville","us","other"
"70858",2013-07-08,"sacramento","us","circle"
"56106",2009-06-20,"roseville","us","rectangle"
"57618",2013-06-25,"bellport","us","circle"
"44960",2008-04-06,"tucson","us","cigar"
"74369",2013-08-16,"larkspur","us","disk"
"74394",1955-08-17,"covina","us","disk"
"31074",1995-02-22,"st. louis","us",""
"33440",2008-02-09,"san francisco","us","changing"
"14465",2003-11-26,"the dalles","us","light"
"65573",2003-07-22,"prince rupert (canada)","ca","light"
"76824",2011-08-24,"harrington","us","sphere"
"48483",2006-05-02,"inver grove heights","us","circle"
"9067",1998-11-01,"phoenix","us","cross"
"68095",2005-07-03,"flintstone","us","light"
"68625",2003-07-04,"ottawa (canada)","ca","light"
"13393",2009-01-12,"lexington","us","other"
"61782",2010-07-01,"philadelphia","us","unknown"
"16364",1999-11-05,"springfield (14 mi. s of&#44 near highlandville)","us","fireball"
"68192",2010-07-03,"bonaparte","us","fireball"
"46140",1998-05-01,"cleveland","us","light"
"53321",NA,"wichita","us",""
"39351",2000-03-09,"fort smith","us","oval"
"81978",1982-09-13,"murphysboro","us","light"
"30214",2006-02-18,"monroeton","us","light"
"59110",2008-06-30,"pacific ocean (near california coast)","","unknown"
"78739",2001-08-03,"oconto falls","us","unknown"
"5132",1999-10-26,"charlotte","us","light"
"23361",2011-12-28,"chattanooga","us","light"
"18487",1996-01-20,"stockton","us","light"
"29962",2012-02-16,"fowleville","","fireball"
"6379",2004-10-31,"tinley park","us","triangle"
"87075",2005-09-30,"new lenox","us","light"
"73602",1994-08-15,"denver","us","other"
"5634",2007-10-28,"las vegas","us","unknown"
"25906",2012-12-07,"longmont","us","fireball"
"31261",2014-02-22,"tunkhannock","us","triangle"
"45180",2010-04-07,"pomona","us","light"
"45142",2007-04-07,"russellville","us",""
"54687",2002-06-15,"tualatin","us","oval"
"54950",2013-06-15,"kitchener (canada)","ca","sphere"
"3805",2003-10-21,"bellmore","us","oval"
"27435",2005-01-05,"dallas","us","cigar"
"15328",2006-11-30,"hollister","us","circle"
"29818",2000-02-16,"rockford","us","circle"
"76526",2008-08-23,"palmdale","us","cylinder"
"57367",1967-06-25,"none","","disk"
"23640",2002-12-30,"(republic of ireland)","","light"
"61991",2004-07-12,"oakville (canada)","ca","light"
"63621",2011-07-15,"mt. vernon","us","light"
"68096",2006-07-03,"eglin air force base","","unknown"
"78778",2004-08-03,"camarillo","us","changing"
"58372",2012-06-29,"las vegas","us","cigar"
"10958",2001-11-16,"vicksburg","us","teardrop"
"88281",2008-09-07,"tacoma","us","triangle"
"27859",2009-01-07,"douglas","us",""
"551",1968-10-01,"lima (peru)","","circle"
"42884",2001-04-23,"none","","circle"
"84531",2005-09-21,"las vegas","us","cone"
"26141",2006-12-08,"las vegas","us","cylinder"
"82829",2002-09-15,"chicago","us","formation"
"7227",2010-10-05,"de soto","us","light"
"8827",2006-11-11,"redwood city","us","light"
"36890",2012-03-23,"bishop","us","light"
"68631",2004-07-04,"pacific beach","us","light"
"63426",2004-07-15,"show low","us","other"
"32",1979-10-10,"san diego","us","oval"
"2074",1993-10-15,"sulphur","us","oval"
"8397",2012-01-10,"marysville","us","triangle"
"19195",2001-01-21,"los angeles","us","triangle"
"20680",2000-12-17,"palm beach","us","triangle"
"23236",1996-12-28,"rockford","us","triangle"
"25679",2000-12-07,"shanghai (china)","","triangle"
"43570",2014-04-26,"maud","us","triangle"
"47930",2008-05-19,"palm coast","us","triangle"
"35985",2012-03-19,"charleston","us","unknown"
"66582",2003-07-26,"burbank","us","unknown"
"12629",2014-01-01,"milpitas","us","light"
"68701",2006-07-04,"south lake tahoe","us","triangle"
"68714",2006-07-04,"orland park","us","triangle"
"65951",2012-07-23,"bloomington","us","unknown"
"77366",2010-08-26,"denver","us","cigar"
"61286",1957-07-01,"del rio","us","cigar"
"23944",2009-12-31,"swindon (uk/england)","gb","circle"
"4569",2011-10-23,"honolulu","us","cylinder"
"12459",2011-01-01,"jackson","us","cylinder"
"85127",2005-09-22,"surprise","us","fireball"
"65924",2011-07-23,"monticello","us","light"
"72010",1996-08-01,"atwater","us","light"
"9679",2007-11-12,"elk grove","us","other"
"6985",2006-10-04,"san diego","us","sphere"
"12433",2011-01-01,"redlands","us","sphere"
"21679",2001-12-02,"lisbon (portugal)","","sphere"
"53766",2004-06-14,"orem","us","sphere"
"68661",2004-07-04,"eugene","us","sphere"
"58163",2011-06-28,"ferndale","us","triangle"
"22665",2000-12-25,"??","","unknown"
"63829",2009-07-16,"bryan","us","unknown"
"73220",2010-08-14,"burbank","us","circle"
"60379",2006-06-08,"atmore","us","other"
"7813",2005-10-08,"san francisco","us","oval"
"46213",2004-05-01,"new york city (brooklyn)","us","sphere"
"79733",1977-08-07,"uk/scotland","","sphere"
"35973",2011-03-19,"elkhart","us","sphere"
"1439",2004-10-13,"new rochelle","us","rectangle"
"17347",2004-01-17,"hesperia","us","light"
"4045",2006-10-02,"portland","us","circle"
"20899",2008-12-18,"georgetown","us","unknown"
"80721",2007-09-10,"russellton","us","cigar"
"45653",1995-05-10,"columbia","us",""
"29709",2009-02-15,"bellmont","","cigar"
"46631",2003-05-13,"georgetown (canada)","ca","circle"
"83931",2008-09-19,"cabo rojo (puerto rico)","","circle"
"35920",2006-03-19,"kelso","us","fireball"
"49104",2003-05-25,"birmingham (uk/england)","gb","light"
"51420",2004-05-09,"batroun (lebanon)","","light"
"59799",1955-06-06,"pensacola","us","light"
"70568",2012-07-07,"vancouver","us","light"
"78595",2009-08-31,"escondido","us","light"
"78600",2010-08-31,"new york city (queens)","us","light"
"81626",2012-09-01,"lincoln","us","light"
"85960",2010-09-25,"los angeles","us","light"
"784",2002-10-01,"orlando","us","other"
"45510",2007-04-09,"cross timbers","us","oval"
"41121",2008-04-15,"chandler","us","sphere"
"57279",2010-06-24,"souderton","us","sphere"
"12414",2010-01-01,"san diego","us","triangle"
"39047",2005-03-07,"alturas","us","triangle"
"70131",2009-07-06,"bloomfield-friendship (pittsburgh)","","light"
"36511",2009-03-02,"cherry valley","us","fireball"
"87793",2003-09-05,"san marcos","us","circle"
"68082",2005-07-03,"clearwater","us","unknown"
"53660",2011-06-13,"leavenworth","us","triangle"
"39469",2012-03-09,"mesa","us","rectangle"
"73863",2004-08-15,"la mesa","us","disk"
"63291",2001-07-15,"carteret","us",""
"77217",1991-08-26,"golqnovci (bulgaria)","",""
"61606",NA,"sydney (nsw&#44 australia)","au","cigar"
"69081",2010-07-04,"battle creek","us","circle"
"71418",2012-08-10,"louisville","us","light"
"67787",2002-07-31,"washington","us","other"
"9749",2011-11-12,"savannah","us","sphere"
"47069",1997-05-15,"hove&#44 aldrington&#44 portslade-by-sea (uk/england)","","sphere"
"4431",2000-10-23,"yamhill","","triangle"
"40358",2012-04-12,"covina","us","chevron"
"40768",2012-04-14,"bongaigaon (assam) (india)","","circle"
"43398",2013-04-25,"englewood","us","cylinder"
"82835",2003-09-15,"airdrie (canada)","ca","diamond"
"45340",2010-04-08,"atascocita","us","disk"
"61410",1978-07-01,"delta","us","disk"
"68108",2007-07-03,"holyoke","us","disk"
"15066",1994-11-29,"phillips","us","light"
"19402",2008-12-01,"fort myers","us","light"
"22377",2001-12-24,"berlin (germany)","de","light"
"59529",2010-06-04,"bismarck","us","light"
"54013",1965-06-15,"west corners","","other"
"32814",1993-02-06,"meadowdale","us","sphere"
"61063",2000-07-11,"torrington","us","sphere"
"65460",2011-07-02,"friendship","us","sphere"
"65763",2001-07-23,"eagle point","us","sphere"
"5240",2008-10-26,"north","us","triangle"
"74658",2013-08-17,"heyburn","us","triangle"
"13116",2012-11-21,"springfield","us","unknown"
"18936",2000-12-11,"norwalk","us","unknown"
"28506",2001-02-11,"ballston spa","us","light"
"66717",2013-07-26,"greensboro","us","circle"
"51958",2012-06-11,"yerevan (armenia)","",""
"79065",NA,"new douglas","us","sphere"
"44249",2007-04-30,"shreveport","us","oval"
"2514",1998-10-16,"sacramento","us","triangle"
"73575",1991-08-15,"peru","us","egg"
"5450",2010-10-27,"fort campbell","","light"
"5576",2002-10-28,"syracuse","us","oval"
"49773",1998-05-29,"phoenix","us","cigar"
"1414",2003-10-13,"phoenix","us","sphere"
"29501",1977-02-15,"joyce kilmer slickrock creek wilderness","","circle"
"77525",2006-08-27,"seatle","","circle"
"45475",2004-04-09,"st. augustine","us","disk"
"5166",2002-10-26,"summit lake exit&#44 hwy 42","","disk"
"66490",2013-07-25,"east aurora","us","oval"
"66242",1999-07-25,"walworth county (eastern part)","us","oval"
"47318",2010-05-15,"bayonne","us","light"
"25739",2004-12-07,"salters","us","light"
"17436",2007-01-17,"west chester","us","triangle"
"59859",1997-06-06,"swansea (uk/wales)","gb","triangle"
"76354",2012-08-22,"greenfield","us","disk"
"34698",2014-03-13,"henderson","us","light"
"7377",2003-10-06,"rainbow lakes estates","us","other"
"31459",1999-02-24,"edwards afb","","other"
"43664",2008-04-27,"tumwater","us","triangle"
"39124",2013-03-07,"woodford green (uk/england)","gb","unknown"
"10213",2011-11-14,"san bernardino","us","light"
"61037",1980-07-11,"san andreas","us","unknown"
"28162",2002-01-09,"rutherford","us","circle"
"57341",2012-06-24,"ypsilanti","us","triangle"
"33683",2012-03-10,"hardin","us","flash"
"60539",2001-06-09,"williams","us","sphere"
"3393",2013-10-19,"silver creek","us","triangle"
"49364",2012-05-26,"lake village","us","light"
"41422",2013-04-16,"townsend","us","cigar"
"80880",1999-09-11,"spokane","us","other"
"12796",2001-11-20,"panama city beach","us","chevron"
"44385",2005-04-03,"new orleans","us","changing"
"4913",1999-10-25,"florence","us","changing"
"6664",1998-10-03,"carbondale","us","changing"
"254",2011-10-10,"ashville","us","circle"
"4446",2003-10-23,"seattle","us","cone"
"13011",2003-11-21,"waterville","us","cross"
"50866",1997-05-06,"seattle","us","disk"
"43700",2012-04-27,"virginia beach","us","fireball"
"59280",2000-06-03,"manzanita","us","fireball"
"32268",2014-02-28,"vancouver","us","light"
"61993",2005-07-12,"river ridge","us","other"
"69005",2010-07-04,"seymour","us","sphere"
"15276",2000-11-30,"newark","us","triangle"
"42505",2002-04-02,"cornelius","us","triangle"
"25304",2014-01-25,"kennesaw","us","unknown"
"27827",2007-01-07,"cleveland","us","unknown"
"28438",2011-02-10,"london/s. charleston (between)","","unknown"
"1270",2012-10-12,"big rock","us","sphere"
"75709",2004-08-21,"tinley park","us","circle"
"22815",2012-12-25,"hollywood","us","fireball"
"48323",2005-05-21,"lincoln","us","changing"
"47543",2003-05-17,"v&auml;stervik (sweden)","","chevron"
"75545",2010-08-20,"newington","us","cigar"
"74929",2013-08-18,"temecula","us","circle"
"38870",2008-03-06,"gig harbor","us","cylinder"
"2893",2010-10-17,"omaha","us","fireball"
"69522",2013-07-04,"longwood","us","fireball"
"40989",2000-04-15,"beatty","us","formation"
"16176",2013-01-14,"perris","us","light"
"27663",2012-01-06,"homestead","us","light"
"32251",2014-02-28,"claremore","us","light"
"76203",2001-08-22,"tracy","us","light"
"28825",2011-02-01,"bay point park (radio marti)","","other"
"28827",2011-02-01,"tucson","us","other"
"28862",2013-02-01,"dryden (canada)","ca","other"
"54725",2003-06-15,"monterey","us","oval"
"85296",2013-09-22,"sacramento","us","sphere"
"32670",2001-02-05,"sierra vista","us","unknown"
"48460",2004-05-02,"camp hill","us","unknown"
"39390",2004-03-09,"mississauga (canada)","ca","fireball"
"88184",1999-09-07,"elk grove","us","light"
"70522",2009-07-07,"north ogden","us","light"
"42792",2012-04-22,"birmingham (uk/england)","gb","sphere"
"58012",2013-06-27,"seattle","us","light"
"23357",2010-12-28,"auburn and westboro","","other"
"62196",2001-07-13,"port huron","us","triangle"
"51052",1996-05-07,"snelling","us",""
"53433",2009-06-12,"tulsa","us",""
"47267",2007-05-15,"bonita springs","us","circle"
"59760",2012-06-05,"los angeles","us","circle"
"5211",2006-10-26,"new orleans","us","cross"
"64650",2013-07-19,"phoenix","us","cylinder"
"66677",2011-07-26,"kent island","","cylinder"
"21501",1998-12-21,"rupert (5 miles north of)","us","disk"
"27078",2010-01-03,"trinity and riverside (between)","","disk"
"45822",2013-05-10,"st. george (northwest of)","us","disk"
"49322",2008-05-26,"murrieta","us","disk"
"49090",2001-05-25,"sarpsborg (norway)","","light"
"79727",1957-08-07,"indianapolis","us","light"
"76626",2013-08-23,"north east","us","triangle"
"25441",2005-12-06,"mount vernon","us","unknown"
"58316",2008-06-29,"las cruces","us","unknown"
"25321",2014-01-25,"jupiter","us","sphere"
"50959",2008-05-06,"","",""
"76655",1996-08-24,"osborne","us",""
"78521",2004-08-31,"mount rainer","","changing"
"65306",2000-07-02,"largo","us","cigar"
"52132",1967-06-01,"san diego","us","circle"
"88090",2009-09-06,"harrisville","us","circle"
"10759",1999-11-16,"springfield","us","cylinder"
"62152",1974-07-13,"conrath","us","disk"
"71533",2002-08-11,"belleville","us","disk"
"64069",2009-07-17,"waterloo","us","fireball"
"15325",2006-11-30,"swarthmore","us","flash"
"4328",2011-10-22,"honolulu","us","light"
"44581",2007-04-04,"queen creek","us","light"
"51010",2013-05-06,"princeton","us","teardrop"
"78178",2001-08-30,"tidworth (uk/england)","","teardrop"
"2430",2010-10-15,"warren","us","unknown"
"87137",2007-09-30,"tempe","us","other"
"83060",2013-09-15,"halifax (canada)","ca","cigar"
"87748",1999-09-05,"zumbrota","us","circle"
"36691",2010-03-22,"fountain inn","us","disk"
"72205",2008-08-01,"sebring","us","light"
"29326",2004-02-14,"newtown","us","oval"
"47044",1995-05-15,"geneva","us","sphere"
"65333",2003-07-02,"sea isle city","us","sphere"
"87159",2010-09-30,"pontiac","us","sphere"
"61762",2010-07-01,"cape may","us","cylinder"
"30591",2008-02-20,"myrtle beach","us","light"
"17348",2004-01-17,"tijuana b.c. (mexico)","","other"
"78060",2010-08-29,"irondequoit","us","cylinder"
"40831",1966-04-15,"francis e warren afb","",""
"54772",2004-06-15,"el paso","us","changing"
"64479",2000-07-19,"venice","us","cigar"
"4628",2013-10-23,"anchorage","us","circle"
"13570",2014-01-12,"haledon","us","circle"
"16631",2008-01-15,"st. louis","us","circle"
"38162",2007-03-31,"los angeles","us","circle"
"50179",2008-05-31,"sheffield (uk/england)","gb","circle"
"56622",1996-06-22,"boekel (the netherlands)","","circle"
"72764",1999-08-13,"vancouver","us","circle"
"2771",2000-10-17,"tucson","us","diamond"
"51072",2000-05-07,"evansville","us","diamond"
"5935",2011-10-29,"wrightwood","us","disk"
"6011",1997-10-30,"pittsburgh","us","disk"
"25468",2007-01-26,"dixon","us","disk"
"28276",2013-01-09,"waukesha","us","disk"
"33165",2000-02-08,"glendale","us","disk"
"37033",2011-03-24,"holt (near)","us","disk"
"30390",2008-02-19,"fruitland","us","flash"
"62384",2012-07-13,"roseburg","us","light"
"77880",2011-08-28,"vancouver","us","light"
"81453",2003-09-01,"country","","light"
"81794",2003-09-12,"beach city","us","light"
"81850",2007-09-12,"ravena","us","light"
"81884",2009-09-12,"port angeles","us","light"
"87148",2009-09-30,"huntsville","us","light"
"52315",1975-06-01,"grand island","","oval"
"50339",2009-05-03,"honolulu","us","sphere"
"64107",2010-07-17,"seattle","us","sphere"
"86814",2007-09-29,"kokomo","us","sphere"
"32873",2006-02-06,"hunter (near)","us","triangle"
"49888",2011-05-29,"davenport","us","triangle"
"63198",1997-07-15,"kernersville","us","triangle"
"63333",2001-07-15,"waimanalo","us","triangle"
"65963",2013-07-23,"wenatchee","us","triangle"
"50356",2011-05-03,"houston","us","unknown"
"70001",2000-07-06,"blood-vein river (canada)","","unknown"
"77548",2007-08-27,"davie","us","unknown"
"68464",1997-07-04,"elmwood","us","light"
"64404",2012-07-18,"holden beach","us","formation"
"39262",2008-03-08,"tulsa","us","changing"
"77724",2001-08-28,"burlington","us","changing"
"81745",2000-09-12,"jasper","us","circle"
"6106",2006-10-30,"monticello","us","cross"
"9158",2001-01-11,"nederland","us","cylinder"
"25075",2005-12-05,"los alamos","","disk"
"76960",1998-08-25,"sandpoint","us","disk"
"55546",2010-06-18,"south portland","us","light"
"40029",1999-04-01,"warrensburg","us","rectangle"
"12479",2012-01-01,"johannesburg (south africa)","","sphere"
"26232",2011-01-28,"jerusalem (israel)","","sphere"
"26719",2009-01-30,"lacey","us","sphere"
